"id","name","type","email","mobile","address","latitude","longitude","network_id","open_time","close_time","ratings","thumbnail","street","landmark","state","country","pin","city","approved_status","address2","location_id","vendor_id","advance","threshold_time","status","created_at","updated_at","created_by","updated_by","station_url","verified","elevation","station_updated","user_type","feedback","brand_id","reactivate_time","reactivate_date","reason","approved_by","approved_at"
5473,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919023",Walkeshwar Bus Depot (BEST),18.946864,72.795586,16,"00:00:00","23:59:59",0.0,,"Teen Batti, Malabar Hill,","",Maharashtra,India,"400006",Mumbai,APPROVED,"Walkeshwar Bus Depot, Walkeshwar Rd,",,,10,10,1,"2024-05-22 01:53:45","2025-12-23 19:09:22",,,,1,55.176,0,,,,,,,,
5474,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919023",Tardeo Bus Station,18.964658,72.821494,16,"00:00:00","23:59:59",0.0,,"Grant Road East, Grant Road,","",Maharashtra,India,"400007",Mumbai,APPROVED,"RS Nimkar Marg, opp. Gita Bhawan,",,,10,10,1,"2024-05-22 01:53:46","2025-12-23 19:09:22",,,,1,32.606,0,,,,,,,,
5475,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919023","Jio-bp Mobility Station, Trichy",10.738207,78.6353721,16,"00:00:00","23:59:59",0.0,,Madurai Hwy,"",Tamil Nadu,India,"620012",Tiruchirappalli,APPROVED,"No 120/1A, Nh 45B, Trichy",,,10,10,1,"2024-05-22 01:53:46","2025-12-23 19:09:23",,,,1,107.705,0,,,,,,,,
5476,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919023","Jio-bp Mobility station, Perambalur",11.2546088,78.896709,16,"00:00:00","23:59:59",0.0,, Grand Southern Trunk Rd,"",Tamil Nadu,India,"621212",Perambalur,APPROVED,"Survey No 304, 1",,,10,10,1,"2024-05-22 01:53:47","2025-12-23 19:09:23",,,,1,121.0,0,,,,,,,,
5477,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919024","Jio-bp Mobility Station, Dindigul",10.4263197,77.9540191,16,"00:00:00","23:59:59",0.0,,"Thadikombu, LANDMAR","",Tamil Nadu,India,"624709",Thadikombu,APPROVED,"1868/5, 1868/6, SURVEY NO.1866/1C, 1866/1D, 1866/1A",,,10,10,1,"2024-05-22 01:53:47","2025-12-23 19:09:23",,,,1,234.0,0,,,,,,,,
5478,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919025","Jio-bp Mobility station, Namakkal",11.279667,78.1641085,16,"00:00:00","23:59:59",0.0,,NH 44,"",Tamil Nadu,India,"637003",Pappaniackanpatti,APPROVED,PLOT NO 88/2B2,,,10,10,1,"2024-05-22 01:53:47",,,,,1,209.0,0,,,,,,,,
5479,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Jio-bp Mobility Station, Salem - 2",11.5390856,77.9717963,16,"00:00:00","23:59:59",0.0,,Salem-Kochi hwy,"",Tamil Nadu,India,"635209",Sellappampatti,APPROVED,Kaligoundanpalayam,,,10,10,1,"2024-05-22 01:53:48",,,,,1,266.476,0,,,,,,,,
5480,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Jio-bp Mobility Station, Salem",11.8242445,78.0651334,16,"00:00:00","23:59:59",0.0,,"Bangalore-Salem Road, RS.No.1/1B2,","",Tamil Nadu,India,"636309",Salem,APPROVED,"Plot No, RS.No.200/3A2 , 200/2B",,,10,10,1,"2024-05-22 01:53:48",,,,,1,312.0,0,,,,,,,,
5481,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026",Ramani Citroen Coimbatore,11.02663,76.95099,16,"00:00:00","23:59:59",0.0,,"1220, Mettupalayam Rd","",Tamil Nadu,India,"641011",Coimbatore,APPROVED,"Nesavaalar Colony, Saibaba Colony",,,10,10,1,"2024-05-22 01:53:48",,,,,1,455.478,0,,,,,,,,
5482,Jio-BP Pulse Charging station,PUBLIC,evsupport.rbml@jiobp.com,"18008919026","Jio-bp Mobility Station, Mettupalayam",11.2798281,76.946984,16,"00:00:00","23:59:59",0.0,,Mettupalayam Rd,"",Tamil Nadu,India,"641301",Coimbatore,APPROVED,"Survey No 720, 1A1",,,10,10,1,"2024-05-22 01:53:49",,,,,1,369.203,0,,,,,,,,
