station_id,station_name,distance_to_route_km,best_route_idx,energy_used_kWh,arrival_SOC_%
21170,Sainath,0.015,0,0.0022,100.0
21000,cafe coffee day,0.019,0,0.0032,99.99
21017,gy,0.024,0,0.0033,99.99
20958,css,0.024,0,0.0034,99.99
20959,ff,0.024,0,0.0034,99.99
20957,css,0.024,0,0.0034,99.99
20955,css,0.024,0,0.0034,99.99
20956,css,0.024,0,0.0034,99.99
20946,fs,0.025,0,0.0035,99.99
20974,fhh,0.026,0,0.0036,99.99
21027,cyyc,0.026,0,0.0036,99.99
20973,fg,0.026,0,0.0036,99.99
21028,ff,0.026,0,0.0037,99.99
20960,ff,0.027,0,0.0037,99.99
20961,fg,0.027,0,0.0037,99.99
20975,fuu,0.026,0,0.0037,99.99
20970,ert,0.027,0,0.0037,99.99
20962,gsg,0.027,0,0.0037,99.99
20938,cg,0.027,0,0.0037,99.99
20947,rd,0.026,0,0.0037,99.99
20939,Hindustan Petroleum,0.027,0,0.0038,99.99
20945,Bharat Petroleum,0.027,0,0.0038,99.99
21015,yg,0.027,0,0.0038,99.99
21175,d ,0.027,0,0.0038,99.99
21026,jshs,0.028,0,0.0039,99.99
20976,gh,0.027,0,0.0039,99.99
21230,ga,0.028,0,0.0039,99.99
20998,hdjdjs,0.029,0,0.0041,99.99
21229,tty,0.03,0,0.0041,99.99
21016,gyug,0.03,0,0.0042,99.99
20977,dui,0.03,0,0.0042,99.99
21197,dheeraj kawal,0.021,0,0.0043,99.99
21171,hotel raj,0.02,0,0.0044,99.99
21196,hub mall,0.019,0,0.0044,99.99
20999,Rmall,0.027,0,0.0052,99.99
21064,Dheeraj Kawal,0.032,0,0.0053,99.99
21065,Dheeraj Kawal,0.032,0,0.0053,99.99
21031,vjj kj,0.022,4,0.0147,99.97
21029,t7,0.076,0,0.0193,99.96
21084,dheeraj kawal,0.746,0,0.1078,99.76
17638,Jio-BP Charging Station,0.043,21,0.122,99.73
15212,Godrej Business District (Private Charger),0.713,7,0.1381,99.69
